PAW protein_summary_9 results file
written: Fri Apr 24 07:34:56 2020

 	=subtotal(109,B6:B5436)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	x
238.0	1	sp|O00469|PLOD2_HUMAN	 	22.4	737	84685	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 OS=Homo sapiens (Human) OX=9606 GN=PLOD2 PE=1 SV=2	32	32	1.000	11	9	12	11	9	12	11.000	9.000	12.000	 
239.0	1	sp|O00471|EXOC5_HUMAN	 	8.3	708	81852	Exocyst complex component 5 OS=Homo sapiens (Human) OX=9606 GN=EXOC5 PE=1 SV=1	11	11	1.000	4	5	2	4	5	2	4.000	5.000	2.000	 
240.0	1	sp|O00479|HMGN4_HUMAN	 	45.6	90	9539	High mobility group nucleosome-binding domain-containing protein 4 OS=Homo sapiens (Human) OX=9606 GN=HMGN4 PE=1 SV=3	61	25	0.410	24	22	15	10	8	7	14.828	13.333	10.111	sp|O00479|HMGN4_HUMAN, sp|P05204|HMGN2_HUMAN
241.0	1	sp|O00483|NDUA4_HUMAN	 	55.6	81	9370	Cytochrome c oxidase subunit NDUFA4 OS=Homo sapiens (Human) OX=9606 GN=NDUFA4 PE=1 SV=1	38	38	1.000	16	12	10	16	12	10	16.000	12.000	10.000	 
242.0	1	sp|O00487|PSDE_HUMAN	 	44.5	310	34577	26S proteasome non-ATPase regulatory subunit 14 OS=Homo sapiens (Human) OX=9606 GN=PSMD14 PE=1 SV=1	53	53	1.000	19	16	18	19	16	18	19.000	16.000	18.000	 
243.0	1	sp|O00499|BIN1_HUMAN	 	31.9	593	64699	Myc box-dependent-interacting protein 1 OS=Homo sapiens (Human) OX=9606 GN=BIN1 PE=1 SV=1	29	28	0.966	9	9	11	9	9	10	9.000	9.000	10.625	sp|O00499|BIN1_HUMAN, sp|P49418|AMPH_HUMAN, sp|Q9UBW5|BIN2_HUMAN
244.0	1	sp|O00505|IMA4_HUMAN	 	16.9	521	57810	Importin subunit alpha-4 OS=Homo sapiens (Human) OX=9606 GN=KPNA3 PE=1 SV=2	25	12	0.480	7	9	9	2	5	5	3.111	6.667	6.667	sp|O00505|IMA4_HUMAN, sp|O00629|IMA3_HUMAN
245.0	1	sp|O00515|LAD1_HUMAN	 	31.7	517	57130	Ladinin-1 OS=Homo sapiens (Human) OX=9606 GN=LAD1 PE=1 SV=2	31	31	1.000	5	12	14	5	12	14	5.000	12.000	14.000	 
246.0	1	sp|O00534|VMA5A_HUMAN	 	12.3	786	86488	von Willebrand factor A domain-containing protein 5A OS=Homo sapiens (Human) OX=9606 GN=VWA5A PE=2 SV=2	10	10	1.000	5	3	2	5	3	2	5.000	3.000	2.000	 
247.0	1	sp|O00541|PESC_HUMAN	 	18.0	588	68002	Pescadillo homolog OS=Homo sapiens (Human) OX=9606 GN=PES1 PE=1 SV=1	21	21	1.000	8	2	11	8	2	11	8.000	2.000	11.000	 
248.0	1	sp|O00555|CAC1A_HUMAN	 	0.8	2506	282561	Voltage-dependent P/Q-type calcium channel subunit alpha-1A OS=Homo sapiens (Human) OX=9606 GN=CACNA1A PE=1 SV=3	3	3	1.000	1	2	0	1	2	0	1.000	2.000	0.000	 
249.0	1	sp|O00560|SDCB1_HUMAN	 	17.1	298	32444	Syntenin-1 OS=Homo sapiens (Human) OX=9606 GN=SDCBP PE=1 SV=1	13	13	1.000	3	5	5	3	5	5	3.000	5.000	5.000	 
250.0	1	sp|O00566|MPP10_HUMAN	 	5.7	681	78863	U3 small nucleolar ribonucleoprotein protein MPP10 OS=Homo sapiens (Human) OX=9606 GN=MPHOSPH10 PE=1 SV=2	6	6	1.000	1	2	3	1	2	3	1.000	2.000	3.000	 
251.0	1	sp|O00567|NOP56_HUMAN	 	50.0	594	66049	Nucleolar protein 56 OS=Homo sapiens (Human) OX=9606 GN=NOP56 PE=1 SV=4	105	105	1.000	34	31	40	34	31	40	34.000	31.000	40.000	 
252.0	1	sp|O00571|DDX3X_HUMAN	 	53.0	662	73243	ATP-dependent RNA helicase DDX3X OS=Homo sapiens (Human) OX=9606 GN=DDX3X PE=1 SV=3	148	137	0.926	46	52	50	41	48	48	42.602	49.512	48.706	sp|O00571|DDX3X_HUMAN, sp|P17844|DDX5_HUMAN, sp|Q92841|DDX17_HUMAN
253.0	1	sp|O00584|RNT2_HUMAN	 	36.3	256	29480	Ribonuclease T2 OS=Homo sapiens (Human) OX=9606 GN=RNASET2 PE=1 SV=2	30	30	1.000	7	9	14	7	9	14	7.000	9.000	14.000	 
254.0	1	sp|O00592|PODXL_HUMAN	 	13.6	558	58635	Podocalyxin OS=Homo sapiens (Human) OX=9606 GN=PODXL PE=1 SV=2	25	25	1.000	6	6	13	6	6	13	6.000	6.000	13.000	 
255.0	1	sp|O00625|PIR_HUMAN	 	20.7	290	32113	Pirin OS=Homo sapiens (Human) OX=9606 GN=PIR PE=1 SV=1	12	12	1.000	2	1	9	2	1	9	2.000	1.000	9.000	 
256.0	1	sp|O00629|IMA3_HUMAN	 	18.2	521	57886	Importin subunit alpha-3 OS=Homo sapiens (Human) OX=9606 GN=KPNA4 PE=1 SV=1	34	21	0.618	12	11	11	7	7	7	10.889	9.333	9.333	sp|O00505|IMA4_HUMAN, sp|O00629|IMA3_HUMAN
257.0	1	sp|O00712|NFIB_HUMAN	 	17.4	420	47441	Nuclear factor 1 B-type OS=Homo sapiens (Human) OX=9606 GN=NFIB PE=1 SV=2	15	10	0.667	7	4	4	5	2	3	5.714	2.444	3.231	sp|O00712|NFIB_HUMAN, sp|P08651|NFIC_HUMAN, sp|Q12857|NFIA_HUMAN, sp|Q14938|NFIX_HUMAN
258.0	1	sp|O00743|PPP6_HUMAN	 	17.7	305	35144	Serine/threonine-protein phosphatase 6 catalytic subunit OS=Homo sapiens (Human) OX=9606 GN=PPP6C PE=1 SV=1	15	15	1.000	8	5	2	8	5	2	8.000	5.000	2.000	 
259.0	1	sp|O00754|MA2B1_HUMAN	 	18.1	1011	113743	Lysosomal alpha-mannosidase OS=Homo sapiens (Human) OX=9606 GN=MAN2B1 PE=1 SV=3	35	35	1.000	11	10	14	11	10	14	11.000	10.000	14.000	 
260.0	1	sp|O00757|F16P2_HUMAN	 	8.3	339	36743	Fructose-1,6-bisphosphatase isozyme 2 OS=Homo sapiens (Human) OX=9606 GN=FBP2 PE=1 SV=2	7	3	0.429	3	2	2	1	0	2	1.080	0.000	2.000	sp|O00757|F16P2_HUMAN, sp|P09467|F16P1_HUMAN
261.0	1	sp|O00762|UBE2C_HUMAN	 	21.8	179	19652	Ubiquitin-conjugating enzyme E2 C OS=Homo sapiens (Human) OX=9606 GN=UBE2C PE=1 SV=1	3	3	1.000	0	2	1	0	2	1	0.000	2.000	1.000	 
262.0	1	sp|O00763|ACACB_HUMAN	 	3.7	2458	276538	Acetyl-CoA carboxylase 2 OS=Homo sapiens (Human) OX=9606 GN=ACACB PE=1 SV=3	11	3	0.273	1	5	5	0	2	1	0.000	2.600	3.000	sp|O00763|ACACB_HUMAN, sp|Q13085|ACACA_HUMAN
263.0	1	sp|O00764|PDXK_HUMAN	 	71.8	312	35102	Pyridoxal kinase OS=Homo sapiens (Human) OX=9606 GN=PDXK PE=1 SV=1	84	84	1.000	30	29	25	30	29	25	30.000	29.000	25.000	 
264.0	1	sp|O00767|ACOD_HUMAN	 	5.6	359	41522	Acyl-CoA desaturase OS=Homo sapiens (Human) OX=9606 GN=SCD PE=1 SV=2	7	7	1.000	2	4	1	2	4	1	2.000	4.000	1.000	 
265.0	1	sp|O14495|PLPP3_HUMAN	 	10.3	311	35116	Phospholipid phosphatase 3 OS=Homo sapiens (Human) OX=9606 GN=PLPP3 PE=1 SV=1	5	5	1.000	2	2	1	2	2	1	2.000	2.000	1.000	 
266.0	1	sp|O14497|ARI1A_HUMAN	 	8.4	2285	242042	AT-rich interactive domain-containing protein 1A OS=Homo sapiens (Human) OX=9606 GN=ARID1A PE=1 SV=3	25	25	1.000	10	4	11	10	4	11	10.000	4.000	11.000	 
267.0	1	sp|O14498|ISLR_HUMAN	 	16.8	428	45997	Immunoglobulin superfamily containing leucine-rich repeat protein OS=Homo sapiens (Human) OX=9606 GN=ISLR PE=2 SV=1	17	17	1.000	4	9	4	4	9	4	4.000	9.000	4.000	 
268.0	1	sp|O14530|TXND9_HUMAN	 	15.9	226	26534	Thioredoxin domain-containing protein 9 OS=Homo sapiens (Human) OX=9606 GN=TXNDC9 PE=1 SV=2	8	8	1.000	3	2	3	3	2	3	3.000	2.000	3.000	 
269.0	1	sp|O14531|DPYL4_HUMAN	 	8.6	572	61877	Dihydropyrimidinase-related protein 4 OS=Homo sapiens (Human) OX=9606 GN=DPYSL4 PE=1 SV=2	18	18	1.000	7	7	4	7	7	4	7.000	7.000	4.000	 
270.0	1	sp|O14545|TRAD1_HUMAN	 	5.3	582	64840	TRAF-type zinc finger domain-containing protein 1 OS=Homo sapiens (Human) OX=9606 GN=TRAFD1 PE=1 SV=1	4	4	1.000	2	1	1	2	1	1	2.000	1.000	1.000	 
271.0	1	sp|O14548|COX7R_HUMAN	 	40.4	114	12615	Cytochrome c oxidase subunit 7A-related protein, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=COX7A2L PE=1 SV=2	9	9	1.000	2	2	5	2	2	5	2.000	2.000	5.000	 
272.0	1	sp|O14558|HSPB6_HUMAN	 	68.8	160	17135	Heat shock protein beta-6 OS=Homo sapiens (Human) OX=9606 GN=HSPB6 PE=1 SV=2	21	21	1.000	12	7	2	12	7	2	12.000	7.000	2.000	 
273.0	1	sp|O14561|ACPM_HUMAN	 	21.2	156	17417	Acyl carrier protein, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=NDUFAB1 PE=1 SV=3	37	37	1.000	13	13	11	13	13	11	13.000	13.000	11.000	 
274.0	1	sp|O14562|UBFD1_HUMAN	 	28.8	309	33382	Ubiquitin domain-containing protein UBFD1 OS=Homo sapiens (Human) OX=9606 GN=UBFD1 PE=1 SV=2	17	17	1.000	5	5	7	5	5	7	5.000	5.000	7.000	 
275.0	1	sp|O14579|COPE_HUMAN	 	32.8	308	34482	Coatomer subunit epsilon OS=Homo sapiens (Human) OX=9606 GN=COPE PE=1 SV=3	31	31	1.000	9	9	13	9	9	13	9.000	9.000	13.000	 
276.0	1	sp|O14594|NCAN_HUMAN	 	19.6	1321	143092	Neurocan core protein OS=Homo sapiens (Human) OX=9606 GN=NCAN PE=1 SV=3	41	41	1.000	11	30	0	11	30	0	11.000	30.000	0.000	 
277.0	1	sp|O14617|AP3D1_HUMAN	 	19.2	1153	130157	AP-3 complex subunit delta-1 OS=Homo sapiens (Human) OX=9606 GN=AP3D1 PE=1 SV=1	43	43	1.000	8	14	21	8	14	21	8.000	14.000	21.000	 
278.0	1	sp|O14618|CCS_HUMAN	 	23.7	274	29040	Copper chaperone for superoxide dismutase OS=Homo sapiens (Human) OX=9606 GN=CCS PE=1 SV=1	16	16	1.000	5	6	5	5	6	5	5.000	6.000	5.000	 
279.0	1	sp|O14641|DVL2_HUMAN	 	5.3	736	78947	Segment polarity protein dishevelled homolog DVL-2 OS=Homo sapiens (Human) OX=9606 GN=DVL2 PE=1 SV=1	6	3	0.500	1	2	3	0	1	2	0.000	1.500	3.000	sp|O14640|DVL1_HUMAN, sp|O14641|DVL2_HUMAN, sp|Q92997|DVL3_HUMAN
280.0	1	sp|O14646|CHD1_HUMAN	 	1.3	1710	196685	Chromodomain-helicase-DNA-binding protein 1 OS=Homo sapiens (Human) OX=9606 GN=CHD1 PE=1 SV=2	3	2	0.667	0	2	1	0	1	1	0.000	2.000	1.000	sp|O14646|CHD1_HUMAN, sp|O14647|CHD2_HUMAN
281.0	1	sp|O14653|GOSR2_HUMAN	 	16.0	212	24775	Golgi SNAP receptor complex member 2 OS=Homo sapiens (Human) OX=9606 GN=GOSR2 PE=1 SV=2	11	11	1.000	3	4	4	3	4	4	3.000	4.000	4.000	 
282.0	1	sp|O14662|STX16_HUMAN	 	7.1	325	37031	Syntaxin-16 OS=Homo sapiens (Human) OX=9606 GN=STX16 PE=1 SV=3	3	3	1.000	1	2	0	1	2	0	1.000	2.000	0.000	 
283.0	1	sp|O14672|ADA10_HUMAN	 	19.3	748	84141	Disintegrin and metalloproteinase domain-containing protein 10 OS=Homo sapiens (Human) OX=9606 GN=ADAM10 PE=1 SV=1	21	21	1.000	6	7	8	6	7	8	6.000	7.000	8.000	 
284.0	1	sp|O14681|EI24_HUMAN	 	4.7	340	38964	Etoposide-induced protein 2.4 homolog OS=Homo sapiens (Human) OX=9606 GN=EI24 PE=1 SV=4	3	3	1.000	0	2	1	0	2	1	0.000	2.000	1.000	 
285.0	1	sp|O14683|P5I11_HUMAN	 	13.2	189	21054	Tumor protein p53-inducible protein 11 OS=Homo sapiens (Human) OX=9606 GN=TP53I11 PE=1 SV=2	5	5	1.000	1	3	1	1	3	1	1.000	3.000	1.000	 
286.0	1	sp|O14684|PTGES_HUMAN	 	12.5	152	17102	Prostaglandin E synthase OS=Homo sapiens (Human) OX=9606 GN=PTGES PE=1 SV=2	9	9	1.000	1	3	5	1	3	5	1.000	3.000	5.000	 
287.0	1	sp|O14732|IMPA2_HUMAN	 	13.5	288	31321	Inositol monophosphatase 2 OS=Homo sapiens (Human) OX=9606 GN=IMPA2 PE=1 SV=1	4	4	1.000	0	2	2	0	2	2	0.000	2.000	2.000	 
288.0	1	sp|O14735|CDIPT_HUMAN	 	8.5	213	23539	CDP-diacylglycerol--inositol 3-phosphatidyltransferase OS=Homo sapiens (Human) OX=9606 GN=CDIPT PE=1 SV=1	6	6	1.000	0	3	3	0	3	3	0.000	3.000	3.000	 
289.0	1	sp|O14737|PDCD5_HUMAN	 	64.8	125	14285	Programmed cell death protein 5 OS=Homo sapiens (Human) OX=9606 GN=PDCD5 PE=1 SV=3	49	49	1.000	15	15	19	15	15	19	15.000	15.000	19.000	 
290.0	1	sp|O14744|ANM5_HUMAN	 	29.0	637	72683	Protein arginine N-methyltransferase 5 OS=Homo sapiens (Human) OX=9606 GN=PRMT5 PE=1 SV=4	34	34	1.000	11	9	14	11	9	14	11.000	9.000	14.000	 
291.0	1	sp|O14745|NHRF1_HUMAN	 	53.6	358	38868	Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Homo sapiens (Human) OX=9606 GN=SLC9A3R1 PE=1 SV=4	69	69	1.000	17	35	17	17	35	17	17.000	35.000	17.000	 
292.0	1	sp|O14773|TPP1_HUMAN	 	28.4	563	61247	Tripeptidyl-peptidase 1 OS=Homo sapiens (Human) OX=9606 GN=TPP1 PE=1 SV=2	64	64	1.000	20	21	23	20	21	23	20.000	21.000	23.000	 
293.0	1	sp|O14776|TCRG1_HUMAN	 	14.5	1098	123900	Transcription elongation regulator 1 OS=Homo sapiens (Human) OX=9606 GN=TCERG1 PE=1 SV=2	32	32	1.000	6	12	14	6	12	14	6.000	12.000	14.000	 
294.0	1	sp|O14786|NRP1_HUMAN	 	15.6	923	103133	Neuropilin-1 OS=Homo sapiens (Human) OX=9606 GN=NRP1 PE=1 SV=3	22	22	1.000	6	8	8	6	8	8	6.000	8.000	8.000	 
295.0	1	sp|O14787|TNPO2_HUMAN	 	8.2	897	101387	Transportin-2 OS=Homo sapiens (Human) OX=9606 GN=TNPO2 PE=1 SV=3	19	7	0.368	4	5	10	1	3	3	1.333	3.600	4.000	sp|O14787|TNPO2_HUMAN, sp|Q92973|TNPO1_HUMAN
296.0	1	sp|O14791|APOL1_HUMAN	 	29.6	398	43974	Apolipoprotein L1 OS=Homo sapiens (Human) OX=9606 GN=APOL1 PE=1 SV=5	33	33	1.000	10	10	13	10	10	13	10.000	10.000	13.000	 
297.0	1	sp|O14818|PSA7_HUMAN	 	58.5	248	27887	Proteasome subunit alpha type-7 OS=Homo sapiens (Human) OX=9606 GN=PSMA7 PE=1 SV=1	95	95	1.000	28	33	34	28	33	34	28.000	33.000	34.000	 
298.0	1	sp|O14828|SCAM3_HUMAN	 	26.8	347	38287	Secretory carrier-associated membrane protein 3 OS=Homo sapiens (Human) OX=9606 GN=SCAMP3 PE=1 SV=3	34	34	1.000	12	8	14	12	8	14	12.000	8.000	14.000	 
299.0	1	sp|O14841|OPLA_HUMAN	 	17.7	1288	137456	5-oxoprolinase OS=Homo sapiens (Human) OX=9606 GN=OPLAH PE=1 SV=3	32	32	1.000	5	18	9	5	18	9	5.000	18.000	9.000	 
300.0	1	sp|O14879|IFIT3_HUMAN	 	32.4	490	55984	Interferon-induced protein with tetratricopeptide repeats 3 OS=Homo sapiens (Human) OX=9606 GN=IFIT3 PE=1 SV=1	36	35	0.972	16	4	16	15	4	16	16.000	4.000	16.000	sp|O14879|IFIT3_HUMAN, sp|Q9Y2V7|COG6_HUMAN
301.0	1	sp|O14880|MGST3_HUMAN	 	54.6	152	16516	Microsomal glutathione S-transferase 3 OS=Homo sapiens (Human) OX=9606 GN=MGST3 PE=1 SV=1	36	36	1.000	11	11	14	11	11	14	11.000	11.000	14.000	 
302.0	1	sp|O14896|IRF6_HUMAN	 	31.3	467	53129	Interferon regulatory factor 6 OS=Homo sapiens (Human) OX=9606 GN=IRF6 PE=1 SV=1	14	14	1.000	1	9	4	1	9	4	1.000	9.000	4.000	 
303.0	1	sp|O14907|TX1B3_HUMAN	 	19.4	124	13735	Tax1-binding protein 3 OS=Homo sapiens (Human) OX=9606 GN=TAX1BP3 PE=1 SV=2	10	10	1.000	3	4	3	3	4	3	3.000	4.000	3.000	 
304.0	1	sp|O14908|GIPC1_HUMAN	 	25.8	333	36049	PDZ domain-containing protein GIPC1 OS=Homo sapiens (Human) OX=9606 GN=GIPC1 PE=1 SV=2	18	17	0.944	6	5	7	5	5	7	6.000	5.000	7.000	sp|O14908|GIPC1_HUMAN, sp|Q8TF65|GIPC2_HUMAN
305.0	1	sp|O14920|IKKB_HUMAN	 	2.1	756	86563	Inhibitor of nuclear factor kappa-B kinase subunit beta OS=Homo sapiens (Human) OX=9606 GN=IKBKB PE=1 SV=1	3	3	1.000	0	1	2	0	1	2	0.000	1.000	2.000	 
306.0	1	sp|O14925|TIM23_HUMAN	 	9.1	209	21943	Mitochondrial import inner membrane translocase subunit Tim23 OS=Homo sapiens (Human) OX=9606 GN=TIMM23 PE=1 SV=1	4	4	1.000	0	0	4	0	0	4	0.000	0.000	4.000	 
307.0	1	sp|O14929|HAT1_HUMAN	 	14.8	419	49512	Histone acetyltransferase type B catalytic subunit OS=Homo sapiens (Human) OX=9606 GN=HAT1 PE=1 SV=1	7	7	1.000	3	1	3	3	1	3	3.000	1.000	3.000	 
308.0	1	sp|O14933|UB2L6_HUMAN	 	58.2	153	17769	Ubiquitin/ISG15-conjugating enzyme E2 L6 OS=Homo sapiens (Human) OX=9606 GN=UBE2L6 PE=1 SV=4	21	21	1.000	8	4	9	8	4	9	8.000	4.000	9.000	 
309.0	1	sp|O14936|CSKP_HUMAN	 	21.8	926	105122	Peripheral plasma membrane protein CASK OS=Homo sapiens (Human) OX=9606 GN=CASK PE=1 SV=3	28	28	1.000	10	7	11	10	7	11	10.000	7.000	11.000	 
310.0	1	sp|O14949|QCR8_HUMAN	 	54.9	82	9906	Cytochrome b-c1 complex subunit 8 OS=Homo sapiens (Human) OX=9606 GN=UQCRQ PE=1 SV=4	23	23	1.000	7	8	8	7	8	8	7.000	8.000	8.000	 
311.0	1	sp|O14950|ML12B_HUMAN	 	66.3	172	19779	Myosin regulatory light chain 12B OS=Homo sapiens (Human) OX=9606 GN=MYL12B PE=1 SV=2	139	51	0.367	44	53	42	12	22	17	36.000	42.667	36.318	sp|O14950|ML12B_HUMAN, sp|P24844|MYL9_HUMAN
311.0001	1	sp|P19105|ML12A_HUMAN	redundant	66.7	171	19794	Myosin regulatory light chain 12A OS=Homo sapiens (Human) OX=9606 GN=MYL12A PE=1 SV=2	139	51	0.367	44	53	42	12	22	17	36.000	42.667	36.318	sp|O14950|ML12B_HUMAN, sp|P24844|MYL9_HUMAN
312.0	1	sp|O14964|HGS_HUMAN	 	17.5	777	86191	Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Homo sapiens (Human) OX=9606 GN=HGS PE=1 SV=1	44	44	1.000	14	16	14	14	16	14	14.000	16.000	14.000	 
313.0	1	sp|O14966|RAB7L_HUMAN	 	19.7	203	23155	Ras-related protein Rab-7L1 OS=Homo sapiens (Human) OX=9606 GN=RAB29 PE=1 SV=1	5	4	0.800	1	2	2	0	2	2	0.500	2.000	2.000	sp|O14966|RAB7L_HUMAN, sp|Q13637|RAB32_HUMAN
314.0	1	sp|O14972|VP26C_HUMAN	 	13.8	297	33010	Vacuolar protein sorting-associated protein 26C OS=Homo sapiens (Human) OX=9606 GN=VPS26C PE=1 SV=1	4	4	1.000	1	0	3	1	0	3	1.000	0.000	3.000	 
315.0	1	sp|O14974|MYPT1_HUMAN	 	29.7	1030	115279	Protein phosphatase 1 regulatory subunit 12A OS=Homo sapiens (Human) OX=9606 GN=PPP1R12A PE=1 SV=1	69	69	1.000	23	18	28	23	18	28	23.000	18.000	28.000	 
316.0	1	sp|O14976|GAK_HUMAN	 	9.8	1311	143189	Cyclin-G-associated kinase OS=Homo sapiens (Human) OX=9606 GN=GAK PE=1 SV=2	14	14	1.000	5	4	5	5	4	5	5.000	4.000	5.000	 
317.0	1	sp|O14979|HNRDL_HUMAN	 	34.0	420	46437	Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens (Human) OX=9606 GN=HNRNPDL PE=1 SV=3	118	68	0.576	49	34	35	30	18	20	39.577	25.537	27.159	REV_Q9ULL8, sp|O14979|HNRDL_HUMAN, sp|Q14103|HNRPD_HUMAN, sp|Q99729|ROAA_HUMAN
318.0	1	sp|O14980|XPO1_HUMAN	 	43.3	1071	123385	Exportin-1 OS=Homo sapiens (Human) OX=9606 GN=XPO1 PE=1 SV=1	168	168	1.000	70	48	50	70	48	50	70.000	48.000	50.000	 
319.0	1	sp|O14981|BTAF1_HUMAN	 	2.2	1849	206885	TATA-binding protein-associated factor 172 OS=Homo sapiens (Human) OX=9606 GN=BTAF1 PE=1 SV=2	7	7	1.000	2	2	3	2	2	3	2.000	2.000	3.000	 
320.0	1	sp|O15020|SPTN2_HUMAN	 	15.3	2390	271322	Spectrin beta chain, non-erythrocytic 2 OS=Homo sapiens (Human) OX=9606 GN=SPTBN2 PE=1 SV=3	83	26	0.313	24	29	30	4	10	12	4.358	10.950	13.137	sp|O15020|SPTN2_HUMAN, sp|P11277|SPTB1_HUMAN, sp|Q01082|SPTB2_HUMAN, sp|Q9H254|SPTN4_HUMAN
321.0	1	sp|O15021|MAST4_HUMAN	 	1.5	2623	284094	Microtubule-associated serine/threonine-protein kinase 4 OS=Homo sapiens (Human) OX=9606 GN=MAST4 PE=1 SV=4	5	4	0.800	1	3	1	1	2	1	1.000	2.143	1.000	sp|O15021|MAST4_HUMAN, sp|O60307|MAST3_HUMAN, sp|P51812|KS6A3_HUMAN, sp|Q15418|KS6A1_HUMAN, sp|Q9Y2H9|MAST1_HUMAN
322.0	1	sp|O15027|SC16A_HUMAN	 	10.8	2357	251891	Protein transport protein Sec16A OS=Homo sapiens (Human) OX=9606 GN=SEC16A PE=1 SV=4	28	28	1.000	5	13	10	5	13	10	5.000	13.000	10.000	 
323.0	1	sp|O15031|PLXB2_HUMAN	 	11.2	1838	205125	Plexin-B2 OS=Homo sapiens (Human) OX=9606 GN=PLXNB2 PE=1 SV=3	30	29	0.967	9	10	11	9	9	11	9.000	10.000	11.000	sp|O15031|PLXB2_HUMAN, sp|O60486|PLXC1_HUMAN
324.0	1	sp|O15042|SR140_HUMAN	 	21.5	1029	118291	U2 snRNP-associated SURP motif-containing protein OS=Homo sapiens (Human) OX=9606 GN=U2SURP PE=1 SV=2	41	41	1.000	11	10	20	11	10	20	11.000	10.000	20.000	 
325.0	1	sp|O15061|SYNEM_HUMAN	 	22.2	1565	172766	Synemin OS=Homo sapiens (Human) OX=9606 GN=SYNM PE=1 SV=2	52	52	1.000	25	22	5	25	22	5	25.000	22.000	5.000	 
326.0	1	sp|O15067|PUR4_HUMAN	 	14.1	1338	144733	Phosphoribosylformylglycinamidine synthase OS=Homo sapiens (Human) OX=9606 GN=PFAS PE=1 SV=4	26	26	1.000	7	6	13	7	6	13	7.000	6.000	13.000	 
327.0	1	sp|O15075|DCLK1_HUMAN	 	20.0	740	82223	Serine/threonine-protein kinase DCLK1 OS=Homo sapiens (Human) OX=9606 GN=DCLK1 PE=1 SV=2	26	20	0.769	6	14	6	4	11	5	6.000	13.692	5.833	sp|O15075|DCLK1_HUMAN, sp|O43602|DCX_HUMAN, sp|Q8N568|DCLK2_HUMAN
328.0	1	sp|O15078|CE290_HUMAN	 	0.7	2479	290382	Centrosomal protein of 290 kDa OS=Homo sapiens (Human) OX=9606 GN=CEP290 PE=1 SV=2	6	1	0.167	1	2	3	0	0	1	0.000	0.000	1.286	sp|O15078|CE290_HUMAN, sp|P61077|UB2D3_HUMAN
329.0	1	sp|O15085|ARHGB_HUMAN	 	2.0	1522	167703	Rho guanine nucleotide exchange factor 11 OS=Homo sapiens (Human) OX=9606 GN=ARHGEF11 PE=1 SV=1	2	2	1.000	0	0	2	0	0	2	0.000	0.000	2.000	 
330.0	1	sp|O15090|ZN536_HUMAN	 	1.7	1300	141416	Zinc finger protein 536 OS=Homo sapiens (Human) OX=9606 GN=ZNF536 PE=1 SV=3	5	3	0.600	2	1	2	1	1	1	1.091	1.000	1.143	sp|O15090|ZN536_HUMAN, sp|P17026|ZNF22_HUMAN, sp|Q3MIS6|ZN528_HUMAN, sp|Q4V348|Z658B_HUMAN, sp|Q6ZMV8|ZN730_HUMAN, sp|Q6ZN08|ZNF66_HUMAN, sp|Q96H40|ZN486_HUMAN, sp|Q9BX82|ZN471_HUMAN, sp|Q9H5H4|ZN768_HUMAN, sp|Q9UEG4|ZN629_HUMAN
331.0	1	sp|O15091|MRPP3_HUMAN	 	5.3	583	67315	Mitochondrial ribonuclease P catalytic subunit OS=Homo sapiens (Human) OX=9606 GN=PRORP PE=1 SV=2	5	5	1.000	3	1	1	3	1	1	3.000	1.000	1.000	 
332.0	1	sp|O15117|FYB1_HUMAN	 	6.9	783	85386	FYN-binding protein 1 OS=Homo sapiens (Human) OX=9606 GN=FYB1 PE=1 SV=2	8	8	1.000	3	1	4	3	1	4	3.000	1.000	4.000	 
333.0	1	sp|O15118|NPC1_HUMAN	 	2.6	1278	142165	NPC intracellular cholesterol transporter 1 OS=Homo sapiens (Human) OX=9606 GN=NPC1 PE=1 SV=2	5	5	1.000	1	1	3	1	1	3	1.000	1.000	3.000	 
334.0	1	sp|O15126|SCAM1_HUMAN	 	26.9	338	37920	Secretory carrier-associated membrane protein 1 OS=Homo sapiens (Human) OX=9606 GN=SCAMP1 PE=1 SV=2	16	16	1.000	6	4	6	6	4	6	6.000	4.000	6.000	 
335.0	1	sp|O15127|SCAM2_HUMAN	 	16.1	329	36648	Secretory carrier-associated membrane protein 2 OS=Homo sapiens (Human) OX=9606 GN=SCAMP2 PE=1 SV=2	13	13	1.000	5	3	5	5	3	5	5.000	3.000	5.000	 
336.0	1	sp|O15131|IMA6_HUMAN	 	14.6	536	60348	Importin subunit alpha-6 OS=Homo sapiens (Human) OX=9606 GN=KPNA5 PE=1 SV=2	10	0	0.000	0	1	9	0	0	0	0.000	0.000	0.000	sp|O15131|IMA6_HUMAN, sp|O60684|IMA7_HUMAN, sp|P52294|IMA5_HUMAN
